Signal,3035 - 75th St W 29th Ave W,Unnamed: 2,Unnamed: 3
05/17/21 08:03:24.800,9,Phase End Yellow Clearance,2
05/17/21 08:03:24.800,10,Phase Begin Red Clearance,2
05/17/21 08:03:26.800,11,Phase End Red Clearance,2
05/17/21 08:03:50.000,1,Phase Begin Green,2
05/17/21 08:04:59.500,7,Phase Green Termination,2
05/17/21 08:04:59.500,8,Phase Begin Yellow Clearance,2
05/17/21 08:05:04.800,9,Phase End Yellow Clearance,2
05/17/21 08:05:04.800,10,Phase Begin Red Clearance,2
05/17/21 08:05:06.800,11,Phase End Red Clearance,2
05/17/21 08:05:23.000,1,Phase Begin Green,2
05/17/21 08:06:53.600,7,Phase Green Termination,2
05/17/21 08:06:53.600,8,Phase Begin Yellow Clearance,2
05/17/21 08:06:58.900,9,Phase End Yellow Clearance,2
05/17/21 08:06:58.900,10,Phase Begin Red Clearance,2
05/17/21 08:07:00.900,11,Phase End Red Clearance,2
05/17/21 08:07:20.700,1,Phase Begin Green,2
05/17/21 08:08:19.500,7,Phase Green Termination,2
05/17/21 08:08:19.500,8,Phase Begin Yellow Clearance,2
05/17/21 08:08:24.800,9,Phase End Yellow Clearance,2
05/17/21 08:08:24.800,10,Phase Begin Red Clearance,2
05/17/21 08:08:26.800,11,Phase End Red Clearance,2
05/17/21 08:08:45.900,1,Phase Begin Green,2
05/17/21 08:11:39.500,7,Phase Green Termination,2
05/17/21 08:11:39.500,8,Phase Begin Yellow Clearance,2
05/17/21 08:11:44.800,9,Phase End Yellow Clearance,2
05/17/21 08:11:44.800,10,Phase Begin Red Clearance,2
05/17/21 08:11:46.800,11,Phase End Red Clearance,2
05/17/21 08:12:03.300,1,Phase Begin Green,2
05/17/21 08:13:19.300,7,Phase Green Termination,2
05/17/21 08:13:19.300,8,Phase Begin Yellow Clearance,2
05/17/21 08:13:24.600,9,Phase End Yellow Clearance,2
05/17/21 08:13:24.600,10,Phase Begin Red Clearance,2
05/17/21 08:13:26.600,11,Phase End Red Clearance,2
05/17/21 08:13:45.000,1,Phase Begin Green,2
05/17/21 08:15:01.400,7,Phase Green Termination,2
05/17/21 08:15:01.400,8,Phase Begin Yellow Clearance,2
05/17/21 08:15:06.700,9,Phase End Yellow Clearance,2
05/17/21 08:15:06.700,10,Phase Begin Red Clearance,2
05/17/21 08:15:08.700,11,Phase End Red Clearance,2
05/17/21 08:15:44.000,1,Phase Begin Green,2
05/17/21 08:16:42.300,7,Phase Green Termination,2
05/17/21 08:16:42.300,8,Phase Begin Yellow Clearance,2
05/17/21 08:16:47.600,9,Phase End Yellow Clearance,2
05/17/21 08:16:47.600,10,Phase Begin Red Clearance,2
05/17/21 08:16:49.600,11,Phase End Red Clearance,2
05/17/21 08:17:05.400,1,Phase Begin Green,2
05/17/21 08:18:19.400,7,Phase Green Termination,2
05/17/21 08:18:19.400,8,Phase Begin Yellow Clearance,2
05/17/21 08:18:24.700,9,Phase End Yellow Clearance,2
05/17/21 08:18:24.700,10,Phase Begin Red Clearance,2
05/17/21 08:18:26.700,11,Phase End Red Clearance,2
05/17/21 08:18:55.500,1,Phase Begin Green,2
05/17/21 08:19:59.300,7,Phase Green Termination,2
05/17/21 08:19:59.300,8,Phase Begin Yellow Clearance,2
05/17/21 08:20:04.600,9,Phase End Yellow Clearance,2
05/17/21 08:20:04.600,10,Phase Begin Red Clearance,2
05/17/21 08:20:06.600,11,Phase End Red Clearance,2
05/17/21 08:20:21.900,1,Phase Begin Green,2
05/17/21 08:21:39.400,7,Phase Green Termination,2
05/17/21 08:21:39.400,8,Phase Begin Yellow Clearance,2
05/17/21 08:21:44.700,9,Phase End Yellow Clearance,2
05/17/21 08:21:44.700,10,Phase Begin Red Clearance,2
05/17/21 08:21:46.700,11,Phase End Red Clearance,2
05/17/21 08:22:23.800,1,Phase Begin Green,2
05/17/21 08:24:59.300,7,Phase Green Termination,2
05/17/21 08:24:59.300,8,Phase Begin Yellow Clearance,2
05/17/21 08:25:04.600,9,Phase End Yellow Clearance,2
05/17/21 08:25:04.600,10,Phase Begin Red Clearance,2
05/17/21 08:25:06.600,11,Phase End Red Clearance,2
05/17/21 08:25:25.600,1,Phase Begin Green,2
